tweet_date,word,n
2018-12-04,president,55703
2018-11-26,president,41943
2018-12-04,china,41750
2018-11-26,border,37961
2018-11-22,america,37464
2018-11-25,border,36313
2018-12-05,china,33028
2018-12-04,trump,31951
2018-12-03,china,31171
2018-12-04,people,29959
2018-11-27,president,29627
2018-11-24,major,29204
2018-11-24,trump,29118
2018-11-24,border,27923
2018-11-26,children,27015
2018-11-23,thanksgiving,26572
2018-11-25,southern,25188
2018-11-27,people,25066
2018-11-23,president,24917
2018-11-21,trump,24013
2018-12-03,president,23830
2018-11-25,president,23486
2018-11-26,trump,22505
2018-12-03,didnt,22384
2018-12-05,deal,22276
2018-12-05,trump,22252
2018-11-24,security,21936
2018-12-04,mueller,21581
2018-11-24,president,21306
2018-12-05,president,21041
2018-12-05,mueller,20650
2018-11-26,southern,20559
2018-11-24,democrats,20417
2018-12-03,trump,20397
2018-11-22,president,20138
2018-11-22,trump,20058
2018-11-25,trump,19884
2018-11-25,climate,19829
2018-11-29,trump,19716
2018-12-05,people,19659
2018-12-05,yea,19060
2018-11-24,republicans,19031
2018-11-21,president,18992
2018-11-27,children,18564
2018-11-27,border,18323
2018-12-04,time,18166
2018-12-03,people,18071
2018-11-22,saudi,18069
2018-11-27,migrants,18021
2018-11-27,trump,17782
2018-11-23,border,17751
2018-11-27,mexico,17673
2018-12-04,democrats,17530
2018-11-24,finally,17336
2018-11-27,criminals,17199
2018-11-26,gas,17168
2018-11-26,stop,16908
2018-11-24,include,16900
2018-11-24,package,16865
2018-11-24,fundin,16765
2018-11-24,justice,16676
2018-11-26,mexico,16649
2018-12-04,xi,16648
2018-11-26,united,16493
2018-11-24,news,16485
2018-12-03,explain,16307
2018-11-25,mexico,16162
2018-11-26,tear,15979
2018-12-05,democrats,15957
2018-11-26,people,15881
2018-11-23,trump,15860
2018-12-04,start,15580
2018-12-05,pay,15536
2018-11-26,minutes,15525
2018-12-05,dollars,15398
2018-12-01,president,15386
2018-11-24,people,15374
2018-11-23,happy,15087
2018-12-03,american,14870
2018-11-27,stone,14777
2018-12-07,president,14767
2018-11-25,united,14753
2018-11-26,share,14748
2018-11-24,support,14713
2018-11-26,policy,14689
2018-11-24,job,14666
2018-11-21,saudi,14531
2018-11-26,caravans,14468
2018-11-24,fake,14385
2018-11-27,cold,14297
2018-12-05,country,14260
2018-11-25,people,14252
2018-11-25,allowed,14210
2018-12-05,clean,14098
2018-11-24,reform,13769
2018-11-27,countries,13652
2018-11-25,migrants,13519
2018-11-27,move,13427
2018-12-05,explain,13418
2018-12-03,world,13410
2018-11-24,true,13372
2018-11-24,criminal,13349
2018-11-25,reason,13328
2018-11-27,flag,13323
2018-11-25,close,13298
2018-12-05,tariff,13243
2018-12-03,tariffs,13169
2018-12-04,wall,13161
2018-11-25,change,13144
2018-11-25,approve,13127
2018-11-27,waving,13115
2018-12-03,coming,13067
2018-11-25,claims,12896
2018-12-05,children,12870
2018-11-25,stay,12817
2018-12-03,agreed,12767
2018-11-27,united,12749
2018-12-04,bush,12682
2018-11-25,individually,12674
2018-12-03,cars,12622
2018-12-03,remove,12576
2018-12-05,votes,12575
2018-12-03,reduce,12543
2018-12-03,week,12533
2018-12-07,trump,12510
2018-12-05,time,12507
2018-11-22,world,12439
2018-12-03,tariff,12394
2018-12-01,trump,12340
2018-11-29,mueller,12261
2018-11-25,wa,12190
2018-11-24,bipartisan,12137
2018-12-05,billion,12132
2018-11-26,clinton,12126
2018-11-24,mcconnell,11971
2018-11-24,shot,11935
2018-11-24,mitch,11914
2018-11-26,foundation,11913
2018-11-29,president,11873
2018-11-25,report,11798
2018-11-23,coldest,11691
2018-11-23,judicial,11569
2018-12-05,losses,11568
2018-11-23,job,11543
2018-11-26,mississippi,11526
2018-11-22,oil,11481
2018-11-24,happy,11462
2018-11-26,obama,11213
2018-11-24,report,11102
2018-11-21,people,11093
2018-11-23,security,11020
2018-12-05,real,10958
2018-12-04,free,10912
2018-11-24,climate,10908
2018-11-25,job,10881
2018-12-03,taxes,10843
2018-11-25,time,10798
2018-12-07,tax,10723
2018-12-05,flynn,10673
2018-12-05,paris,10647
2018-12-07,russia,10612
2018-11-27,tear,10507
2018-11-26,illegally,10501
2018-11-23,people,10500
2018-11-26,smart,10471
2018-11-27,mueller,10434
2018-11-23,highly,10398
2018-11-23,allowed,10373
2018-12-07,witch,10353
2018-11-25,news,10341
2018-12-05,bush,10331
2018-12-05,world,10285
2018-11-23,trained,10270
2018-11-27,gas,10258
2018-12-05,youre,10251
2018-11-23,professionals,10216
2018-11-26,power,10192
2018-12-04,deal,10190
2018-11-26,women,10166
2018-12-03,milano,10153
2018-12-03,melania,10114
2018-11-26,prices,10102
2018-11-23,justice,10077
2018-12-07,hunt,10063
2018-11-23,activi,10044
2018-11-22,prices,9911
2018-12-03,hanukkah,9862
2018-12-07,phony,9813
2018-11-24,foundation,9784
2018-12-04,scott,9783
2018-12-05,tariffs,9734
2018-12-03,pay,9719
2018-11-23,day,9675
2018-11-26,originating,9643
2018-12-04,build,9639
2018-11-29,witch,9617
2018-11-22,hey,9563
2018-11-22,people,9534
2018-11-26,america,9507
2018-12-04,save,9503
2018-11-27,borders,9499
2018-11-26,drop,9481
2018-12-03,conservative,9472
2018-12-07,accomplished,9471
2018-12-04,political,9466
2018-11-26,tick,9437
2018-11-26,donations,9419
2018-12-03,send,9369
2018-11-26,tax,9339
2018-12-03,jews,9326
2018-11-24,proud,9301
2018-12-04,america,9290
2018-12-04,farmers,9281
2018-11-25,fake,9258
2018-11-21,bin,9255
2018-12-07,regula,9153
2018-12-03,supporters,9151
2018-12-03,individual,9120
2018-11-24,wall,9086
2018-11-23,america,9064
2018-12-07,people,9017
2018-12-03,celebrate,8937
2018-12-04,stone,8890
2018-12-03,miracles,8879
2018-12-05,agreed,8877
2018-12-05,countries,8877
2018-12-03,wis,8799
2018-11-22,obama,8767
2018-11-23,country,8750
2018-12-04,billions,8729
2018-11-29,trumptrain,8697
2018-12-05,friend,8688
2018-12-05,nation,8687
2018-11-22,lower,8683
2018-11-29,hunt,8642
2018-12-04,dollars,8626
2018-12-07,hard,8580
2018-11-23,roberts,8483
2018-11-27,report,8460
2018-11-25,share,8357
2018-11-22,justice,8294
2018-12-03,claims,8261
2018-11-29,steel,8257
2018-12-04,bob,8252
2018-11-25,tick,8213
2018-12-04,fast,8213
2018-11-22,bitch,8193
2018-12-04,roger,8160
2018-11-29,fake,8127
2018-12-04,agricultural,8077
2018-12-04,purchasing,8052
2018-11-23,circuit,8050
2018-12-04,intend,8047
2018-12-04,beneficiary,8043
2018-11-27,minutes,8039
2018-12-04,control,8028
2018-11-23,world,8005
2018-11-27,mississippi,7979
2018-11-27,closely,7977
2018-11-21,million,7963
2018-11-29,news,7915
2018-11-22,arabias,7800
2018-11-23,weather,7729
2018-11-21,hes,7677
2018-11-22,stop,7627
2018-11-27,vote,7579
2018-11-29,total,7575
2018-11-22,tax,7545
2018-11-22,american,7450
2018-11-27,attack,7443
2018-11-22,cut,7377
2018-11-21,arabia,7325
2018-11-22,roberts,7317
2018-11-21,hope,7248
2018-11-23,thankful,7242
2018-11-21,juan,7182
2018-11-22,enjoy,7161
2018-11-27,policy,7149
2018-11-29,christmas,7084
2018-11-27,obama,7060
2018-11-21,obama,7020
2018-11-27,caravan,7000
2018-11-27,doesnt,7000
2018-11-22,border,6942
2018-11-25,justice,6905
2018-11-27,conflicts,6860
2018-11-25,space,6770
2018-11-21,de,6746
2018-12-07,media,6722
2018-12-01,world,6699
2018-11-21,border,6688
2018-11-25,security,6625
2018-11-25,money,6589
2018-11-23,history,6505
2018-11-25,america,6467
2018-12-07,coast,6389
2018-11-21,fake,6382
2018-11-22,arabia,6378
2018-12-07,prayers,6377
2018-11-21,email,6371
2018-11-22,view,6348
2018-11-29,plants,6309
2018-12-01,country,6290
2018-11-21,turkey,6170
2018-11-29,people,6133
2018-12-01,people,6130
2018-11-21,news,6122
2018-11-21,laden,6108
2018-11-29,report,6089
2018-12-07,involved,6031
2018-11-23,global,6007
2018-12-07,crew,5936
2018-12-07,collision,5919
2018-11-29,power,5909
2018-12-07,midair,5909
2018-12-07,japa,5901
2018-11-21,american,5897
2018-11-22,nypost,5852
2018-12-01,highly,5841
2018-11-23,parade,5832
2018-11-23,nyc,5818
2018-12-01,mueller,5814
2018-11-23,time,5812
2018-11-22,chief,5800
2018-11-29,mississippi,5774
2018-11-29,play,5752
2018-12-07,fake,5752
2018-11-23,family,5750
2018-12-01,united,5726
2018-11-22,judges,5697
2018-11-29,discredited,5675
2018-11-29,studied,5634
2018-11-21,time,5613
2018-11-29,disgusting,5552
2018-11-21,thanksgiving,5549
2018-11-21,mcraven,5537
2018-11-29,gm,5484
2018-11-21,military,5443
2018-11-29,major,5442
2018-11-29,build,5393
2018-12-07,china,5349
2018-11-21,san,5343
2018-11-29,hoax,5335
2018-11-29,congratulations,5306
2018-11-21,pakistan,5303
2018-11-21,wonderful,5254
2018-11-21,america,5248
2018-11-29,merry,5230
2018-11-30,trump,5218
2018-11-21,brings,5216
2018-11-21,discovery,5216
2018-11-29,happening,5189
2018-11-22,attack,5182
2018-11-21,support,5175
2018-11-22,murder,5136
2018-12-07,news,5083
2018-11-29,family,5067
2018-11-22,dear,5066
2018-11-29,clinton,5038
2018-11-29,obama,4978
2018-11-22,news,4965
2018-12-07,american,4960
2018-11-30,mueller,4880
2018-12-01,day,4880
2018-12-07,world,4879
2018-12-07,time,4798
2018-12-01,history,4755
2018-12-07,funeral,4610
2018-12-07,presidential,4325
2018-12-07,youre,4238
2018-12-01,korean,4203
2018-12-07,bush,4182
2018-11-28,mississippi,4053
2018-12-01,hard,4042
2018-12-07,donald,4022
2018-12-01,north,4017
2018-12-01,alaska,3972
2018-12-01,nafta,3954
2018-12-01,usmca,3843
2018-12-01,american,3827
2018-11-28,mueller,3810
2018-12-01,hit,3688
2018-12-01,follow,3686
2018-11-28,congratulations,3663
2018-12-01,train,3545
2018-12-01,directions,3497
2018-12-01,didnt,3446
2018-11-30,president,3300
2018-11-28,cindy,3279
2018-12-01,russia,3244
2018-11-28,trump,3201
2018-11-28,senator,3174
2018-12-01,question,3156
2018-11-28,proud,3108
2018-12-01,donald,3093
2018-12-01,isnt,3068
2018-12-01,provide,3035
2018-12-01,care,3032
2018-12-01,trade,2989
2018-11-28,win,2836
2018-12-01,health,2827
2018-11-28,witch,2754
2018-11-28,hydesmith,2604
2018-11-30,argentina,2590
2018-12-06,oil,2562
2018-11-28,wearing,2520
2018-11-28,victory,2519
2018-11-30,tax,2498
2018-11-28,voting,2441
2018-11-28,brenda,2431
2018-11-28,charge,2425
2018-11-28,president,2424
2018-11-28,snipes,2407
2018-11-28,beautiful,2379
2018-12-06,china,2368
2018-11-28,dress,2357
2018-11-28,county,2348
2018-11-28,spotted,2342
2018-11-28,florida,2340
2018-11-28,broward,2337
2018-11-30,dollars,2321
2018-11-28,hillary,2265
2018-12-06,president,2264
2018-11-28,hunt,2213
2018-11-30,book,2194
2018-11-28,people,2184
2018-11-30,government,2164
2018-11-28,seats,2153
2018-11-30,history,2128
2018-11-30,military,2095
2018-11-28,border,2083
2018-11-30,spending,2049
2018-11-30,provide,2040
2018-11-30,breaks,2037
2018-11-30,trillion,2026
2018-11-30,bi,2021
2018-11-30,richest,2017
2018-11-30,expand,2015
2018-11-28,clinton,1958
2018-11-28,senate,1946
2018-11-30,hes,1945
2018-11-30,crimes,1919
2018-11-30,dershowitz,1871
2018-12-06,trump,1850
2018-12-06,world,1783
2018-11-30,alan,1725
2018-11-30,cohen,1695
2018-11-30,authority,1625
2018-11-30,commissioner,1590
2018-11-30,roving,1590
2018-12-02,president,1584
2018-11-30,russia,1583
2018-11-30,evi,1580
2018-12-06,pr,1444
2018-12-06,people,1427
2018-11-30,country,1426
2018-11-30,written,1412
2018-11-30,senate,1367
2018-12-06,bush,1290
2018-12-06,hard,1284
2018-12-02,trump,1233
2018-11-20,trump,1204
2018-12-06,opec,1161
2018-11-20,pakistan,1146
2018-12-06,keeping,1121
2018-12-06,flows,1103
2018-12-06,restricted,1099
2018-11-20,bin,1094
2018-11-20,laden,1082
2018-12-06,funeral,1065
2018-11-20,juan,1010
2018-12-06,time,967
2018-12-06,mueller,954
2018-12-02,people,941
2018-11-20,people,939
2018-12-02,didnt,914
2018-12-06,family,905
2018-12-06,day,874
2018-12-02,bush,859
2018-11-20,president,804
2018-12-06,trumps,796
2018-11-20,hope,778
2018-11-20,san,741
2018-11-20,discovery,723
2018-12-06,donald,723
2018-11-20,wonderful,722
2018-11-20,argentine,721
2018-11-20,brings,721
2018-11-20,closure,719
2018-11-20,eventual,719
2018-11-20,recovery,719
2018-11-20,submarine,719
2018-12-06,agreed,718
2018-12-06,forward,704
2018-12-06,including,702
2018-12-06,deal,699
2018-12-06,american,693
2018-11-20,united,692
2018-11-20,fake,687
2018-11-20,money,667
2018-12-02,explain,663
2018-11-20,obama,645
2018-12-06,worst,645
2018-12-06,flynn,640
2018-11-20,news,633
2018-12-02,american,632
2018-12-06,dangerous,621
2018-12-06,deadly,620
2018-12-06,youre,603
2018-11-20,pay,578
2018-11-20,class,561
2018-11-20,military,560
2018-12-02,george,548
2018-11-20,massive,546
2018-11-20,decades,543
2018-11-20,warfare,541
2018-11-20,osama,535
2018-11-20,ongoing,532
2018-12-02,fcups,507
2018-12-02,hw,503
2018-12-02,tax,492
2018-12-02,time,487
2018-12-02,sweetlex,472
2018-12-02,dossier,450
2018-12-02,traitor,442
2018-12-02,trumps,440
2018-12-02,rich,428
2018-12-02,campaign,425
2018-12-02,repeatedly,406
2018-12-02,promised,403
2018-12-02,gain,402
2018-12-02,family,396
2018-12-02,real,389
2018-12-02,pay,378
2018-12-02,obama,369
2018-12-02,milano,366
2018-12-02,life,363
2018-12-02,world,363
2018-12-02,taxes,340
2018-12-02,income,337
2018-12-08,voter,324
2018-12-08,expand,320
2018-12-08,trump,234
2018-12-08,democrats,225
2018-12-08,people,219
2018-12-08,united,210
2018-12-08,candidate,207
2018-12-08,respect,201
2018-12-08,choose,200
2018-12-08,builds,199
2018-12-08,tremendous,199
2018-12-08,citizens,163
2018-12-08,democracy,163
2018-12-08,rest,161
2018-12-08,vibrant,161
2018-12-08,creating,160
2018-12-08,overturn,160
2018-12-08,registration,160
2018-12-08,steps,160
2018-12-08,turnout,160
2018-12-08,american,154
2018-12-08,campaign,150
2018-12-08,rich,146
2018-12-08,president,145
2018-12-08,repeatedly,142
2018-12-08,promised,141
2018-12-08,gaining,140
2018-12-08,individual,111
2018-12-08,bernie,105
2018-12-08,youre,91
